
  0%|          | 0/10 [00:00<?, ?it/s]
Fold: 4 | Epoch: 1 | Loss score: 0.149 | Current Escore: 4.167%:   0%|          | 0/10 [00:03<?, ?it/s]
Fold: 4 | Epoch: 1 | Loss score: 0.149 | New best Escore: 4.167%:   0%|          | 0/10 [00:03<?, ?it/s]
Fold: 4 | Epoch: 1 | Loss score: 0.149 | New best Escore: 4.167%:  10%|█         | 1/10 [00:03<00:34,  3.86s/it]
Fold: 4 | Epoch: 2 | Loss score: 0.076 | Current Escore: 4.167%:  10%|█         | 1/10 [00:08<00:34,  3.86s/it] 
Fold: 4 | Epoch: 2 | Loss score: 0.076 | Current Escore: 4.167%:  20%|██        | 2/10 [00:08<00:34,  4.30s/it]
Fold: 4 | Epoch: 3 | Loss score: 0.150 | Current Escore: 4.167%:  20%|██        | 2/10 [00:13<00:34,  4.30s/it]
Fold: 4 | Epoch: 3 | Loss score: 0.150 | Current Escore: 4.167%:  30%|███       | 3/10 [00:13<00:31,  4.43s/it]
Fold: 4 | Epoch: 4 | Loss score: 0.097 | Current Escore: 0.000%:  30%|███       | 3/10 [00:17<00:31,  4.43s/it]
Fold: 4 | Epoch: 4 | Loss score: 0.097 | New best Escore: 0.000%:  30%|███       | 3/10 [00:17<00:31,  4.43s/it]
Fold: 4 | Epoch: 4 | Loss score: 0.097 | New best Escore: 0.000%:  40%|████      | 4/10 [00:17<00:26,  4.40s/it]
Fold: 4 | Epoch: 5 | Loss score: 0.116 | Current Escore: 4.167%:  40%|████      | 4/10 [00:21<00:26,  4.40s/it] 
Fold: 4 | Epoch: 5 | Loss score: 0.116 | Current Escore: 4.167%:  50%|█████     | 5/10 [00:21<00:21,  4.40s/it]
Fold: 4 | Epoch: 6 | Loss score: 0.133 | Current Escore: 4.167%:  50%|█████     | 5/10 [00:26<00:21,  4.40s/it]
Fold: 4 | Epoch: 6 | Loss score: 0.133 | Current Escore: 4.167%:  60%|██████    | 6/10 [00:26<00:18,  4.51s/it]
Fold: 4 | Epoch: 7 | Loss score: 0.040 | Current Escore: 0.000%:  60%|██████    | 6/10 [00:30<00:18,  4.51s/it]
Fold: 4 | Epoch: 7 | Loss score: 0.040 | Current Escore: 0.000%:  70%|███████   | 7/10 [00:30<00:13,  4.43s/it]
Fold: 4 | Epoch: 8 | Loss score: 0.040 | Current Escore: 0.000%:  70%|███████   | 7/10 [00:35<00:13,  4.43s/it]
Fold: 4 | Epoch: 8 | Loss score: 0.040 | Current Escore: 0.000%:  80%|████████  | 8/10 [00:35<00:08,  4.46s/it]
Fold: 4 | Epoch: 9 | Loss score: 0.078 | Current Escore: 4.167%:  80%|████████  | 8/10 [00:39<00:08,  4.46s/it]
Fold: 4 | Epoch: 9 | Loss score: 0.078 | Current Escore: 4.167%:  90%|█████████ | 9/10 [00:39<00:04,  4.40s/it]
Fold: 4 | Epoch: 10 | Loss score: 0.018 | Current Escore: 0.000%:  90%|█████████ | 9/10 [00:43<00:04,  4.40s/it]
Fold: 4 | Epoch: 10 | Loss score: 0.018 | Current Escore: 0.000%: 100%|██████████| 10/10 [00:43<00:00,  4.36s/it]
Fold: 4 | Epoch: 10 | Loss score: 0.018 | Current Escore: 0.000%: 100%|██████████| 10/10 [00:43<00:00,  4.38s/it]
