
  0%|          | 0/10 [00:00<?, ?it/s]
Fold: 8 | Epoch: 1 | Loss score: 0.250 | Current Escore: 4.348%:   0%|          | 0/10 [00:03<?, ?it/s]
Fold: 8 | Epoch: 1 | Loss score: 0.250 | New best Escore: 4.348%:   0%|          | 0/10 [00:03<?, ?it/s]
Fold: 8 | Epoch: 1 | Loss score: 0.250 | New best Escore: 4.348%:  10%|█         | 1/10 [00:03<00:35,  3.96s/it]
Fold: 8 | Epoch: 2 | Loss score: 0.022 | Current Escore: 0.000%:  10%|█         | 1/10 [00:08<00:35,  3.96s/it] 
Fold: 8 | Epoch: 2 | Loss score: 0.022 | New best Escore: 0.000%:  10%|█         | 1/10 [00:08<00:35,  3.96s/it]
Fold: 8 | Epoch: 2 | Loss score: 0.022 | New best Escore: 0.000%:  20%|██        | 2/10 [00:08<00:34,  4.35s/it]
Fold: 8 | Epoch: 3 | Loss score: 0.121 | Current Escore: 8.696%:  20%|██        | 2/10 [00:12<00:34,  4.35s/it] 
Fold: 8 | Epoch: 3 | Loss score: 0.121 | Current Escore: 8.696%:  30%|███       | 3/10 [00:12<00:30,  4.30s/it]
Fold: 8 | Epoch: 4 | Loss score: 0.083 | Current Escore: 0.000%:  30%|███       | 3/10 [00:16<00:30,  4.30s/it]
Fold: 8 | Epoch: 4 | Loss score: 0.083 | Current Escore: 0.000%:  40%|████      | 4/10 [00:16<00:25,  4.24s/it]
Fold: 8 | Epoch: 5 | Loss score: 0.047 | Current Escore: 0.000%:  40%|████      | 4/10 [00:21<00:25,  4.24s/it]
Fold: 8 | Epoch: 5 | Loss score: 0.047 | Current Escore: 0.000%:  50%|█████     | 5/10 [00:21<00:21,  4.24s/it]
Fold: 8 | Epoch: 6 | Loss score: 0.059 | Current Escore: 4.348%:  50%|█████     | 5/10 [00:25<00:21,  4.24s/it]
Fold: 8 | Epoch: 6 | Loss score: 0.059 | Current Escore: 4.348%:  60%|██████    | 6/10 [00:25<00:16,  4.22s/it]
Fold: 8 | Epoch: 7 | Loss score: 0.025 | Current Escore: 0.000%:  60%|██████    | 6/10 [00:29<00:16,  4.22s/it]
Fold: 8 | Epoch: 7 | Loss score: 0.025 | Current Escore: 0.000%:  70%|███████   | 7/10 [00:29<00:12,  4.22s/it]
Fold: 8 | Epoch: 8 | Loss score: 0.015 | Current Escore: 0.000%:  70%|███████   | 7/10 [00:34<00:12,  4.22s/it]
Fold: 8 | Epoch: 8 | Loss score: 0.015 | Current Escore: 0.000%:  80%|████████  | 8/10 [00:34<00:08,  4.33s/it]
Fold: 8 | Epoch: 9 | Loss score: 0.018 | Current Escore: 0.000%:  80%|████████  | 8/10 [00:38<00:08,  4.33s/it]
Fold: 8 | Epoch: 9 | Loss score: 0.018 | Current Escore: 0.000%:  90%|█████████ | 9/10 [00:38<00:04,  4.29s/it]
Fold: 8 | Epoch: 10 | Loss score: 0.061 | Current Escore: 0.000%:  90%|█████████ | 9/10 [00:42<00:04,  4.29s/it]
Fold: 8 | Epoch: 10 | Loss score: 0.061 | Current Escore: 0.000%: 100%|██████████| 10/10 [00:42<00:00,  4.26s/it]
Fold: 8 | Epoch: 10 | Loss score: 0.061 | Current Escore: 0.000%: 100%|██████████| 10/10 [00:42<00:00,  4.26s/it]
