
  0%|          | 0/100 [00:00<?, ?it/s]
Loss score: 1.023 | Error score: 35.185%:   0%|          | 0/100 [00:04<?, ?it/s]
Loss score: 1.023 | Error score: 35.185%:   1%|          | 1/100 [00:04<06:52,  4.16s/it]
Loss score: 0.702 | Error score: 35.185%:   1%|          | 1/100 [00:09<06:52,  4.16s/it]
Loss score: 0.702 | Error score: 35.185%:   2%|▏         | 2/100 [00:09<08:09,  4.99s/it]
Loss score: 0.782 | Error score: 35.185%:   2%|▏         | 2/100 [00:15<08:09,  4.99s/it]
Loss score: 0.782 | Error score: 35.185%:   3%|▎         | 3/100 [00:15<08:48,  5.45s/it]
Loss score: 0.654 | Error score: 35.185%:   3%|▎         | 3/100 [00:20<08:48,  5.45s/it]
Loss score: 0.654 | Error score: 35.185%:   4%|▍         | 4/100 [00:21<08:37,  5.39s/it]
Loss score: 0.769 | Error score: 35.185%:   4%|▍         | 4/100 [00:27<08:37,  5.39s/it]
Loss score: 0.769 | Error score: 35.185%:   5%|▌         | 5/100 [00:27<08:59,  5.68s/it]
Loss score: 0.635 | Error score: 33.333%:   5%|▌         | 5/100 [00:32<08:59,  5.68s/it]
Loss score: 0.635 | Error score: 33.333%:   6%|▌         | 6/100 [00:32<08:50,  5.64s/it]
Loss score: 0.656 | Error score: 31.481%:   6%|▌         | 6/100 [00:37<08:50,  5.64s/it]
Loss score: 0.656 | Error score: 31.481%:   7%|▋         | 7/100 [00:37<08:29,  5.48s/it]
Loss score: 0.595 | Error score: 27.778%:   7%|▋         | 7/100 [00:43<08:29,  5.48s/it]
Loss score: 0.595 | Error score: 27.778%:   8%|▊         | 8/100 [00:43<08:15,  5.38s/it]
Loss score: 0.575 | Error score: 25.926%:   8%|▊         | 8/100 [00:48<08:15,  5.38s/it]
Loss score: 0.575 | Error score: 25.926%:   9%|▉         | 9/100 [00:48<08:06,  5.35s/it]
Loss score: 0.694 | Error score: 29.630%:   9%|▉         | 9/100 [00:53<08:06,  5.35s/it]
Loss score: 0.694 | Error score: 29.630%:  10%|█         | 10/100 [00:53<07:58,  5.32s/it]
Loss score: 0.630 | Error score: 33.333%:  10%|█         | 10/100 [00:58<07:58,  5.32s/it]
Loss score: 0.630 | Error score: 33.333%:  11%|█         | 11/100 [00:58<07:51,  5.29s/it]
Loss score: 0.664 | Error score: 25.926%:  11%|█         | 11/100 [01:04<07:51,  5.29s/it]
Loss score: 0.664 | Error score: 25.926%:  12%|█▏        | 12/100 [01:04<07:45,  5.30s/it]
Loss score: 0.603 | Error score: 35.185%:  12%|█▏        | 12/100 [01:09<07:45,  5.30s/it]
Loss score: 0.603 | Error score: 35.185%:  13%|█▎        | 13/100 [01:09<07:39,  5.29s/it]
Loss score: 0.615 | Error score: 33.333%:  13%|█▎        | 13/100 [01:14<07:39,  5.29s/it]
Loss score: 0.615 | Error score: 33.333%:  14%|█▍        | 14/100 [01:14<07:33,  5.27s/it]
Loss score: 0.614 | Error score: 27.778%:  14%|█▍        | 14/100 [01:19<07:33,  5.27s/it]
Loss score: 0.614 | Error score: 27.778%:  15%|█▌        | 15/100 [01:19<07:26,  5.26s/it]
Loss score: 0.618 | Error score: 31.481%:  15%|█▌        | 15/100 [01:24<07:26,  5.26s/it]
Loss score: 0.618 | Error score: 31.481%:  16%|█▌        | 16/100 [01:25<07:18,  5.22s/it]
Loss score: 0.643 | Error score: 31.481%:  16%|█▌        | 16/100 [01:30<07:18,  5.22s/it]
Loss score: 0.643 | Error score: 31.481%:  17%|█▋        | 17/100 [01:30<07:15,  5.25s/it]
Loss score: 1.082 | Error score: 46.296%:  17%|█▋        | 17/100 [01:35<07:15,  5.25s/it]
Loss score: 1.082 | Error score: 46.296%:  18%|█▊        | 18/100 [01:35<07:09,  5.23s/it]
Loss score: 0.664 | Error score: 25.926%:  18%|█▊        | 18/100 [01:40<07:09,  5.23s/it]
Loss score: 0.664 | Error score: 25.926%:  19%|█▉        | 19/100 [01:40<07:03,  5.23s/it]
Loss score: 0.639 | Error score: 33.333%:  19%|█▉        | 19/100 [01:45<07:03,  5.23s/it]
Loss score: 0.639 | Error score: 33.333%:  20%|██        | 20/100 [01:45<06:57,  5.22s/it]
Loss score: 0.574 | Error score: 27.778%:  20%|██        | 20/100 [01:51<06:57,  5.22s/it]
Loss score: 0.574 | Error score: 27.778%:  21%|██        | 21/100 [01:51<06:51,  5.21s/it]
Loss score: 0.580 | Error score: 31.481%:  21%|██        | 21/100 [01:56<06:51,  5.21s/it]
Loss score: 0.580 | Error score: 31.481%:  22%|██▏       | 22/100 [01:56<06:46,  5.22s/it]
Loss score: 0.557 | Error score: 20.370%:  22%|██▏       | 22/100 [02:01<06:46,  5.22s/it]
Loss score: 0.557 | Error score: 20.370%:  23%|██▎       | 23/100 [02:01<06:42,  5.23s/it]
Loss score: 0.696 | Error score: 33.333%:  23%|██▎       | 23/100 [02:06<06:42,  5.23s/it]
Loss score: 0.696 | Error score: 33.333%:  24%|██▍       | 24/100 [02:06<06:37,  5.24s/it]
Loss score: 0.618 | Error score: 20.370%:  24%|██▍       | 24/100 [02:12<06:37,  5.24s/it]
